2a, OBJECTIEF-1, 41, V_curved, L
2a, DANSEN-A, 19, V, R
2a, PT:wijs-40, 4, 1, L
2a, PT:wijs-40, 4, 1, R
2a, GEBRUIKEN-C-1, 2, B, L
2a, GEBRUIKEN-C-1, 4, 1, R
2a, ENZOVOORTS-C-6, 25, 5, L
2a, ENZOVOORTS-C-6, 25, 5, R
2a, CONTRACT-B, 2, B, L
2a, CONTRACT-B, 19, V, R
2a, TWEETALIG-9, 19, V, L
2a, TWEETALIG-9, 19, V, R
2a, IN-F-1, 3, C, L
2a, IN-F-1, 3, C, R
2a, EIGENWIJS-2, 2, B, L
2a, EIGENWIJS-2, 2, B, R
2a, AMSTEL-B, 3, C, L
2a, AMSTEL-B, 3, C, R
2a, GEBRUIKEN-C-4, 2, B, L
2a, GEBRUIKEN-C-4, 4, 1, R
2a, OVER-A-21, 38, B_curved, L
2a, OVER-A-21, 2, B, R
2a, PT:mid-10, 4, 1, L
2a, PT:mid-10, 4, 1, R
2a, LAATSTE-B-11, 2, B, L
2a, LAATSTE-B-11, 23, Y, R
2a, EIKEL-B-1, 38, B_curved, L
2a, EIKEL-B-1, 42, Beak, R
2a, PT:pink-3, 4, 1, L
2a, PT:pink-3, 25, 5, R
2a, PT:mid-45, 25, 5, L
2a, PT:mid-45, 4, 1, R
2a, AMSTEL-B-4, 3, C, L
2a, AMSTEL-B-4, 30, 4, R
2a, JEZUS-A, 2, B, L
2a, JEZUS-A, 43, 5m, R
2a, GEBRUIKEN-A-28, 2, B, L
2a, GEBRUIKEN-A-28, 9, N, R
2a, POLITIEK-A-1, 2, B, L
2a, POLITIEK-A-1, 19, V, R
2a, BANAAN-A-5, 17, S, L
2a, BANAAN-A-5, 36, Money, R
2a, SCHRIJVEN-D-3, 2, B, L
2a, SCHRIJVEN-D-3, 24, Baby_O, R
2a, PT:duim-14, 4, 1, L
2a, PT:duim-14, 4, 1, R
2a, PT:duim-28, 4, 1, L
2a, PT:duim-28, 4, 1, R
2a, PT:pink-10, 25, 5, L
2a, PT:pink-10, 4, 1, R
2a, POLITIEK-A, 2, B, L
2a, POLITIEK-A, 19, V, R
2a, DANSEN-A-2, 2, B, L
2a, DANSEN-A-2, 19, V, R
2a, SCHRIJVEN-B-14, 2, B, L
2a, SCHRIJVEN-B-14, 18, T, R
2a, ECUADOR, 3, C, L
2a, ECUADOR, 2, B, R
2a, GEBRUIKEN-A-4, 2, B, L
2a, GEBRUIKEN-A-4, 2, B, R
2a, GEBRUIKEN-A-12, 2, B, L
2a, GEBRUIKEN-A-12, 9, N, R
2a, AARDAPPEL-E, 17, S, L
2a, AARDAPPEL-E, 44, Baby_C, R
2a, OVER-A-39, 38, B_curved, L
2a, OVER-A-39, 2, B, R
2a, WINNEN-D-1, 37, C_spread, L
2a, WINNEN-D-1, 2, B, R
2a, VIOOL-2, 3, C, L
2a, VIOOL-2, 3, C, R
2a, NMG-6, 2, B, L
2a, NMG-6, 17, S, R
2a, HELEEN-BOS-1, 2, B, L
2a, HELEEN-BOS-1, 9, N, R
2a, SCHRIJVEN-D-33, 2, B, L
2a, SCHRIJVEN-D-33, 24, Baby_O, R
2a, PT:mid-41, 4, 1, L
2a, PT:mid-41, 4, 1, R
2a, PT:wijs-74, 4, 1, L
2a, PT:wijs-74, 4, 1, R
2a, AF-A-10, 2, B, L
2a, AF-A-10, 2, B, R
2a, JARIG-A-8, 2, B, L
2a, JARIG-A-8, 2, B, R
2a, IN-E-10, 3, C, L
2a, IN-E-10, 4, 1, R
2a, SCHOOL-B-6, 2, B, L
2a, SCHOOL-B-6, 18, T, R
2a, AF-A-14, 2, B, L
2a, AF-A-14, 2, B, R
2a, SCHRIJVEN-D-36, 2, B, L
2a, SCHRIJVEN-D-36, 24, Baby_O, R
2a, VERTALEN-A, 2, B, L
2a, VERTALEN-A, 19, V, R
2a, SEVEN-UP-A, 25, 5, L
2a, SEVEN-UP-A, 12, L, R
2a, DRAAIORGEL-2, 3, C, L
2a, DRAAIORGEL-2, 3, C, R
2a, VOETBALLEN-B-16, 19, V, L
2a, VOETBALLEN-B-16, 19, V, R
2a, BANAAN-A-4, 36, Money, L
2a, BANAAN-A-4, 36, Money, R
2a, SPAREN-A, 3, C, L
2a, SPAREN-A, 18, T, R
2a, SAAI-C, 2, B, L
2a, SAAI-C, 41, V_curved, R
2a, AFSNIJDEN, 3, C, L
2a, AFSNIJDEN, 17, S, R
2a, ONTSTAAN-A-1, 3, C, L
2a, ONTSTAAN-A-1, 3, C, R
2a, PT:duim-11, 4, 1, L
2a, PT:duim-11, 4, 1, R
2a, SCHRIJVEN-D-1, 2, B, L
2a, SCHRIJVEN-D-1, 24, Baby_O, R
2a, SCHILDPAD-A-44, 38, B_curved, L
2a, SCHILDPAD-A-44, 1, A, R
2a, BIJ-C-6, 2, B, L
2a, BIJ-C-6, 26, Beak_open, R
2a, BRIEF-A-4, 2, B, L
2a, BRIEF-A-4, 1, A, R
2a, PT:ring-14, 25, 5, L
2a, PT:ring-14, 4, 1, R
2a, NARCIS, 3, C, L
2a, NARCIS, 2, B, R
2a, BLENDER-A, 4, 1, L
2a, BLENDER-A, 2, B, R
2a, PT:mid-53, 4, 1, L
2a, PT:mid-53, 4, 1, R
2a, GEBRUIKEN-A-7, 2, B, L
2a, GEBRUIKEN-A-7, 2, B, R
2a, SCHRIJVEN-B-2, 2, B, L
2a, SCHRIJVEN-B-2, 2, B, R
2a, KETCHUP-A, 17, S, L
2a, KETCHUP-A, 37, C_spread, R
2a, PT:ring-17, 4, 1, L
2a, PT:ring-17, 4, 1, R
2a, JARIG-A-9, 26, Beak_open, L
2a, JARIG-A-9, 2, B, R
2a, SCHRIJVEN-D-27, 2, B, L
2a, SCHRIJVEN-D-27, 24, Baby_O, R
2a, SMOOTHIE-B, 3, C, L
2a, SMOOTHIE-B, 4, 1, R
2a, OVER-A-16, 38, B_curved, L
2a, OVER-A-16, 38, B_curved, R
2a, ENZOVOORTS-A-10, 4, 1, L
2a, ENZOVOORTS-A-10, 4, 1, R
2a, SCHILDPAD-A-28, 38, B_curved, L
2a, SCHILDPAD-A-28, 1, A, R
2a, VOETBALLEN-B-18, 2, B, L
2a, VOETBALLEN-B-18, 2, B, R
2a, SCHEPJE-ERBIJ, 3, C, L
2a, SCHEPJE-ERBIJ, 36, Money, R
2a, YOUTUBE-B, 23, Y, R
2a, LAATSTE-B, 2, B, L
2a, LAATSTE-B, 23, Y, R
2a, SCHILDPAD-A-30, 38, B_curved, L
2a, SCHILDPAD-A-30, 1, A, R
2a, AANSLUITEN-5, 14, O, L
2a, AANSLUITEN-5, 22, 1_curved, R
2a, JAMMER-C-1, 2, B, L
2a, JAMMER-C-1, 17, S, R
2a, ENZOVOORTS-C-5, 25, 5, L
2a, ENZOVOORTS-C-5, 30, 4, R
2a, AMSTEL-A-2, 3, C, L
2a, AMSTEL-A-2, 3, C, R
2a, SCHRIJVEN-D-39, 2, B, L
2a, SCHRIJVEN-D-39, 24, Baby_O, R
2a, VOETBALLEN-B-20, 2, B, L
2a, VOETBALLEN-B-20, 19, V, R
2a, PLAKKEN-C, 1, A, L
2a, PLAKKEN-C, 2, B, R
2a, OVER-A-46, 38, B_curved, L
2a, OVER-A-46, 38, B_curved, R
2a, YOGHURT-A, 23, Y, L
2a, YOGHURT-A, 3, C, R
2a, AF-A-4, 25, 5, L
2a, AF-A-4, 2, B, R
2a, NAAM-D-5, 2, B, L
2a, NAAM-D-5, 18, T, R
2a, ENZOVOORTS-A-30, 4, 1, L
2a, ENZOVOORTS-A-30, 4, 1, R
2a, PT:ring-12, 25, 5, L
2a, PT:ring-12, 4, 1, R
2a, VERBAASD-C-3, 2, B, L
2a, VERBAASD-C-3, 38, B_curved, R
2a, 6-B-3, 25, 5, L
2a, 6-B-3, 25, 5, R
2a, MSN-B-6, 2, B, L
2a, MSN-B-6, 2, B, R
2a, VERZAMELEN-C-1, 2, B, L
2a, VERZAMELEN-C-1, 2, B, R
2a, SCHRIJVEN-D-43, 2, B, L
2a, SCHRIJVEN-D-43, 24, Baby_O, R
2a, NAAM-D-6, 2, B, L
2a, NAAM-D-6, 2, B, R
2a, SCHRIJVEN-D-6, 2, B, L
2a, SCHRIJVEN-D-6, 24, Baby_O, R
2a, OVER-A-33, 2, B, L
2a, OVER-A-33, 38, B_curved, R
2a, KIWI-B-1, 3, C, L
2a, KIWI-B-1, 1, A, R
2a, HOTDOG, 3, C, L
2a, HOTDOG, 4, 1, R
2a, VOETBALLEN-B-2, 2, B, L
2a, VOETBALLEN-B-2, 19, V, R
2a, 7-B-2, 25, 5, L
2a, 7-B-2, 12, L, R
2a, PROJECT-2, 36, Money, L
2a, PROJECT-2, 36, Money, R
2a, AF-A-8, 2, B, L
2a, AF-A-8, 2, B, R
2a, GEBRUIKEN-A-3, 9, N, L
2a, GEBRUIKEN-A-3, 9, N, R
2a, KURKENTREKKER, 36, Money, L
2a, KURKENTREKKER, 17, S, R
2a, CONTRACT-B-1, 2, B, L
2a, CONTRACT-B-1, 19, V, R
2a, IN-J, 26, Beak_open, L
2a, IN-J, 26, Beak_open, R
2a, EIGENWIJS-3, 2, B, L
2a, EIGENWIJS-3, 2, B, R
2a, PT:pink-9, 25, 5, L
2a, PT:pink-9, 4, 1, R
2a, TWEETALIG, 14, O, L
2a, TWEETALIG, 19, V, R
2a, CORPUS-4, 2, B, L
2a, CORPUS-4, 39, Beak_open_spread, R
2a, PT:wijs-72, 4, 1, L
2a, PT:wijs-72, 4, 1, R
2a, PRINCIPE-2, 2, B, L
2a, PRINCIPE-2, 27, B_bent, R
2a, SUSHI-A, 17, S, L
2a, SUSHI-A, 9, N, R
2a, SCHRIJVEN-D-10, 2, B, L
2a, SCHRIJVEN-D-10, 24, Baby_O, R
2a, PT:wijs-60, 4, 1, L
2a, PT:wijs-60, 4, 1, R
2a, OVER-A-32, 38, B_curved, L
2a, OVER-A-32, 38, B_curved, R
2a, BIER-B-10, 3, C, L
2a, BIER-B-10, 41, V_curved, R
2a, AMSTEL-A-3, 3, C, L
2a, AMSTEL-A-3, 3, C, R
2a, RING-1, 25, 5, L
2a, RING-1, 25, 5, R
2a, CAFE-A-5, 3, C, L
2a, CAFE-A-5, 17, S, R
2a, HOTEL-B-1, 41, V_curved, L
2a, HOTEL-B-1, 41, V_curved, R
2a, GEBRUIKEN-A-18, 9, N, L
2a, GEBRUIKEN-A-18, 9, N, R
2a, FILMEN-C, 3, C, L
2a, FILMEN-C, 12, L, R
2a, PT:duim-30, 4, 1, L
2a, PT:duim-30, 4, 1, R
2a, VIOOL-1, 3, C, L
2a, VIOOL-1, 18, T, R
2a, GEBRUIKEN-A-30, 2, B, L
2a, GEBRUIKEN-A-30, 9, N, R
2a, CHIPS-C, 2, B, L
2a, CHIPS-C, 18, T, R
2a, FOUT-A-2, 2, B, L
2a, FOUT-A-2, 4, 1, R
2a, WINNEN-D, 37, C_spread, L
2a, WINNEN-D, 2, B, R
2a, PROTEST-C, 17, S, L
2a, PROTEST-C, 2, B, R
2a, TE-LAAT-B, 2, B, L
2a, TE-LAAT-B, 12, L, R
2a, STAGE-1, 2, B, L
2a, STAGE-1, 41, V_curved, R
2a, TWEETALIG-7, 19, V, L
2a, TWEETALIG-7, 19, V, R
2a, SCHILDPAD-A-10, 1, A, L
2a, SCHILDPAD-A-10, 1, A, R
2a, SCHILDPAD-A-62, 38, B_curved, L
2a, SCHILDPAD-A-62, 1, A, R
2a, EDE-2, 1, A, L
2a, EDE-2, 1, A, R
2a, BOS-B-1, 25, 5, L
2a, BOS-B-1, 25, 5, R
2a, TWEETALIG-6, 14, O, L
2a, TWEETALIG-6, 19, V, R
2a, CHIPS-E, 3, C, L
2a, CHIPS-E, 3, C, R
2a, STEMMEN-B, 2, B, L
2a, STEMMEN-B, 36, Money, R
2a, MAAND-D, 2, B, L
2a, MAAND-D, 44, Baby_C, R
2a, ECHO-A-1, 2, B, L
2a, ECHO-A-1, 17, S, R
2a, TWEETALIG-8, 19, V, L
2a, TWEETALIG-8, 19, V, R
2a, WEEKEND-A, 2, B, L
2a, WEEKEND-A, 17, S, R
2a, TECHNIEK-4, 2, B, L
2a, TECHNIEK-4, 19, V, R
2a, TECHNIEK-2, 2, B, L
2a, TECHNIEK-2, 19, V, R
2a, PT:pink-4, 25, 5, L
2a, PT:pink-4, 4, 1, R
2a, BERND-MOJET, 2, B, L
2a, BERND-MOJET, 19, V, R
2a, PT:ring-24, 25, 5, L
2a, PT:ring-24, 4, 1, R
2a, PRIVILEGE-1, 4, 1, L
2a, PRIVILEGE-1, 2, B, R
2a, HARD-A-4, 22, 1_curved, L
2a, HARD-A-4, 22, 1_curved, R
2a, ENZOVOORTS-C-7, 25, 5, L
2a, ENZOVOORTS-C-7, 25, 5, R
2a, KWARK-B, 3, C, L
2a, KWARK-B, 11, K, R
2a, ORIENTATIE-A, 4, 1, L
2a, ORIENTATIE-A, 2, B, R
2a, STAAN-C-1, 2, B, L
2a, STAAN-C-1, 19, V, R
2a, ONDERDRUKKEN-A-3, 17, S, L
2a, ONDERDRUKKEN-A-3, 25, 5, R
2a, PRINCIPE-1, 2, B, L
2a, PRINCIPE-1, 27, B_bent, R
2a, PT:ring-13, 25, 5, L
2a, PT:ring-13, 4, 1, R
2a, PT:pink-8, 25, 5, L
2a, PT:pink-8, 4, 1, R
2a, MORFOLOGIE, 44, Baby_C, L
2a, MORFOLOGIE, 4, 1, R
2a, PT:duim-29, 4, 1, L
2a, PT:duim-29, 4, 1, R
2a, PARAMETER-A, 25, 5, L
2a, PARAMETER-A, 25, 5, R
2a, DOLLAR-B-3, 42, Beak, L
2a, DOLLAR-B-3, 42, Beak, R
2a, BROCCOLI, 37, C_spread, L
2a, BROCCOLI, 37, C_spread, R
2a, HAVANA, 19, V, L
2a, HAVANA, 9, N, R
2a, VLEES-C-2, 25, 5, L
2a, VLEES-C-2, 18, T, R
2a, OVER-A-28, 38, B_curved, L
2a, OVER-A-28, 2, B, R
2a, AANSLUITEN-4, 22, 1_curved, L
2a, AANSLUITEN-4, 22, 1_curved, R
2a, PT:mid-28, 4, 1, L
2a, PT:mid-28, 4, 1, R
2a, HOMO-B, 2, B, L
2a, HOMO-B, 1, A, R
2a, ENZOVOORTS-A-6, 4, 1, L
2a, ENZOVOORTS-A-6, 4, 1, R
2a, TAPAS-C, 2, B, L
2a, TAPAS-C, 18, T, R
2a, VIJLEN, 36, Money, L
2a, VIJLEN, 25, 5, R
2a, OVER-A-8, 2, B, L
2a, OVER-A-8, 38, B_curved, R
2a, HARD-B-8, 2, B, L
2a, HARD-B-8, 22, 1_curved, R
2a, SCHRIJVEN-D-41, 24, Baby_O, L
2a, SCHRIJVEN-D-41, 2, B, R
2a, SYRIE-A-1, 2, B, L
2a, SYRIE-A-1, 19, V, R
2a, PT:mid-8, 25, 5, L
2a, PT:mid-8, 4, 1, R
2a, JAGEN-B, 3, C, L
2a, JAGEN-B, 12, L, R
2a, HARD-A-1, 17, S, L
2a, HARD-A-1, 22, 1_curved, R
2a, LEZEN-A, 2, B, L
2a, LEZEN-A, 19, V, R
2a, KAMEROEN-1, 2, B, L
2a, KAMEROEN-1, 2, B, R
2a, PT:mid-49, 4, 1, L
2a, PT:mid-49, 4, 1, R
2a, PT:ring-19, 25, 5, L
2a, PT:ring-19, 4, 1, R
2a, BONAIRE, 4, 1, L
2a, BONAIRE, 2, B, R
2a, PT:wijs-27, 4, 1, L
2a, PT:wijs-27, 4, 1, R
2a, AF-A-17, 2, B, L
2a, AF-A-17, 2, B, R
2a, MOJITO, 3, C, L
2a, MOJITO, 17, S, R
2a, GEBRUIKEN-C-10, 4, 1, L
2a, GEBRUIKEN-C-10, 2, B, R
2a, OVER-A-4, 38, B_curved, L
2a, OVER-A-4, 38, B_curved, R
2a, PT:mid-1, 4, 1, L
2a, PT:mid-1, 4, 1, R
2a, GEBRUIKEN-B-1, 2, B, L
2a, GEBRUIKEN-B-1, 9, N, R
2a, SWDA-A-1, 2, B, L
2a, SWDA-A-1, 26, Beak_open, R
2a, PT:mid-17, 4, 1, L
2a, PT:mid-17, 4, 1, R
2a, BANAAN-A, 17, S, L
2a, BANAAN-A, 36, Money, R
2a, STRAF-A-2, 2, B, L
2a, STRAF-A-2, 36, Money, R
2a, HARD-A-3, 17, S, L
2a, HARD-A-3, 22, 1_curved, R
2a, PT:wijs-64, 4, 1, L
2a, PT:wijs-64, 4, 1, R
2a, 7-B, 25, 5, L
2a, 7-B, 12, L, R
2a, CURRICULUM-1, 2, B, L
2a, CURRICULUM-1, 2, B, R
2a, WEEKEND-A-1, 2, B, L
2a, WEEKEND-A-1, 17, S, R
2a, PATAT, 3, C, L
2a, PATAT, 18, T, R
2a, SCHRIJVEN-B-12, 2, B, L
2a, SCHRIJVEN-B-12, 18, T, R
2a, FOUT-A-3, 2, B, L
2a, FOUT-A-3, 2, B, R
2a, BLOEM-A-2, 3, C, L
2a, BLOEM-A-2, 40, Beak_spread, R
2a, SCHRIJVEN-D-8, 2, B, L
2a, SCHRIJVEN-D-8, 24, Baby_O, R
2a, FILIPIJNEN, 11, K, L
2a, FILIPIJNEN, 17, S, R
2a, VOETBALLEN-B-17, 19, V, L
2a, VOETBALLEN-B-17, 19, V, R
2a, 6-B-8, 25, 5, L
2a, 6-B-8, 1, A, R
2a, OPVALLEN-D, 3, C, L
2a, OPVALLEN-D, 3, C, R
2a, PT:wijs-52, 4, 1, L
2a, PT:wijs-52, 4, 1, R
2a, GEBRUIKEN-D, 2, B, L
2a, GEBRUIKEN-D, 4, 1, R
2a, PRAKTIJK-1, 2, B, L
2a, PRAKTIJK-1, 19, V, R
2a, ENZOVOORTS-C-1, 25, 5, L
2a, ENZOVOORTS-C-1, 25, 5, R
2a, PT:duim-5, 4, 1, L
2a, PT:duim-5, 4, 1, R
2a, BOS-B, 25, 5, L
2a, BOS-B, 25, 5, R
2a, DRAAIORGEL, 3, C, L
2a, DRAAIORGEL, 17, S, R
2a, ONTSLAAN-A-1, 2, B, L
2a, ONTSLAAN-A-1, 1, A, R
2a, CORPUS-3, 2, B, L
2a, CORPUS-3, 39, Beak_open_spread, R
2a, 8-B-5, 21, W, L
2a, 8-B-5, 21, W, R
2a, SCHOOL-B-3, 2, B, L
2a, SCHOOL-B-3, 18, T, R
2a, PT:duim-6, 4, 1, L
2a, PT:duim-6, 4, 1, R
2a, ECHT-WAAR-2, 2, B, L
2a, ECHT-WAAR-2, 9, N, R
2a, BANGKOK, 42, Beak, L
2a, BANGKOK, 2, B, R
2a, LAATSTE-B-12, 23, Y, L
2a, LAATSTE-B-12, 23, Y, R
2a, ZUID-AMERIKA-A, 1, A, L
2a, GEBRUIKEN-B, 2, B, L
2a, GEBRUIKEN-B, 9, N, R
2a, SCHILDPAD-A-48, 38, B_curved, L
2a, SCHILDPAD-A-48, 1, A, R
2a, CONTRACT-A-3, 2, B, L
2a, CONTRACT-A-3, 9, N, R
2a, PT:mid-46, 4, 1, L
2a, PT:mid-46, 4, 1, R
2a, 8-B-2, 21, W, L
2a, 8-B-2, 25, 5, R
2a, PT:duim-3, 4, 1, L
2a, PT:duim-3, 4, 1, R
2a, MIAMI-1, 13, M, L
2a, MIAMI-1, 13, M, R
2a, OBJECTIEF, 3, C, L
2a, OBJECTIEF, 41, V_curved, R
2a, BETALEN-2, 2, B, L
2a, BETALEN-2, 1, A, R
2a, ANNE-BAKER, 2, B, L
2a, ANNE-BAKER, 9, N, R
2a, SCHRIJVEN-D-7, 24, Baby_O, L
2a, SCHRIJVEN-D-7, 2, B, R
2a, SCHILDPAD-A-64, 1, A, L
2a, SCHILDPAD-A-64, 1, A, R
2a, PT:duim-8, 4, 1, L
2a, PT:duim-8, 4, 1, R
2a, PT:wijs-9, 4, 1, L
2a, PT:wijs-9, 4, 1, R
2a, SCHILDPAD-A-43, 1, A, L
2a, SCHILDPAD-A-43, 1, A, R
2a, METRO-C, 2, B, L
2a, METRO-C, 19, V, R
2a, JAGEN-B-2, 3, C, L
2a, JAGEN-B-2, 12, L, R
2a, BESLUITEN-C, 2, B, L
2a, BESLUITEN-C, 17, S, R
2a, NMG, 2, B, L
2a, NMG, 17, S, R
2a, SCHILDPAD-A-40, 38, B_curved, L
2a, SCHILDPAD-A-40, 1, A, R
2a, BETALEN-1, 1, A, L
2a, BETALEN-1, 1, A, R
2a, PT:wijs-62, 4, 1, L
2a, PT:wijs-62, 4, 1, R
2a, TEENSLIPPER-B, 30, 4, L
2a, TEENSLIPPER-B, 4, 1, R
2a, HARD-B-4, 2, B, L
2a, HARD-B-4, 22, 1_curved, R
2a, PT:wijs-54, 4, 1, L
2a, PT:wijs-54, 4, 1, R
2a, SCHILDPAD-A-55, 38, B_curved, L
2a, SCHILDPAD-A-55, 1, A, R
